序号,题型,题目,选项A,选项B,选项C,选项D,正确答案,解析
1,单选,Python 中用来在屏幕上输出内容的关键字是？,print,input,if,for,A,print() 是 Python 内置的输出函数，用于在屏幕上显示文字或变量的值。
2,单选,以下哪个函数用来接收用户从键盘输入的内容？,print,input,range,len,B,input() 函数可以让用户从键盘输入数据，输入的内容会以字符串类型返回。
3,单选,在 Python 中，下面的数据类型哪一个表示整数？,float,str,int,bool,C,int 是 Python 中表示整数（integer）的类型，例如 1、-5、100 都是整数。
4,单选,以下代码的输出结果是什么？ print(3 + 5 * 2),16,13,11,10,B,根据运算优先级，先乘除后加减：5 * 2 = 10，然后 3 + 10 = 13。
5,单选,Python 中注释代码使用什么符号？,//,<!-- -->,#,/* */,C,Python 使用 # 号进行单行注释，# 后面的内容不会被执行。
6,单选,以下哪个是 Python 中正确的变量名？,2name,my-name,my_name,class,C,变量名只能包含字母、数字和下划线，且不能以数字开头。class 是 Python 的关键字不能用作变量名。my_name 符合命名规则。
7,单选,以下代码的运行结果是什么？ print(type(3.14)),<class 'int'>,<class 'float'>,<class 'str'>,<class 'bool'>,B,3.14 是小数，在 Python 中属于浮点数类型 float。type() 函数可以查看数据的类型。
8,单选,"print(""Hello"" + ""World"") 的输出是什么？",HelloWorld,Hello World,Hello+World,报错,A,"加号 + 可以拼接两个字符串，""Hello"" + ""World"" 的结果是 ""HelloWorld""，中间没有空格。"
9,单选,想让程序重复执行某段代码，可以使用什么语句？,if,print,for,input,C,for 循环和 while 循环都可以让代码重复执行。if 是条件判断语句，不能实现重复执行。
10,单选,"以下哪个运算符表示""不等于""？",==,!=,>=,<=,B,"!= 是 Python 中表示""不等于""的比较运算符。== 表示等于，>= 表示大于等于，<= 表示小于等于。"
11,判断,Python 是一种解释型语言。,,,,,对,Python 是解释型语言，代码逐行解释执行，不需要先编译成机器码。
12,判断,在 Python 中，变量使用前不需要声明类型。,,,,,对,Python 是动态类型语言，变量可以直接赋值使用，Python 会自动推断类型。例如 x = 10 会自动将 x 设为 int 类型。
13,判断,input() 函数接收的数据类型是整数。,,,,,错,input() 函数接收的数据始终是字符串（str）类型，如果需要整数，需要使用 int() 函数进行转换。
14,判断,Python 代码区分大小写，变量 Name 和 name 是不同的变量。,,,,,对,Python 是大小写敏感的语言，Name 和 name 会被视为两个不同的变量。
15,判断,print(10 / 2) 的输出结果是 5.0 而不是 5。,,,,,对,在 Python 中，单斜杠 / 执行浮点数除法，结果总是浮点数。10 / 2 的结果是 5.0。如果想得到整数 5，需要使用双斜杠 //（整除）：10 // 2 结果是 5。
